icd_code,icd_version,long_title
841,9,Intestinal infection due to staphylococcus
842,9,Intestinal infection due to pseudomonas
843,9,Intestinal infection due to campylobacter
844,9,Intestinal infection due to yersinia enterocolitica
845,9,Intestinal infection due to Clostridium difficile
846,9,Intestinal infection due to other anaerobes
847,9,Intestinal infection due to other gram-negative bacteria
849,9,Intestinal infection due to other organisms
85,9,"Bacterial enteritis, unspecified"
861,9,Enteritis due to rotavirus
862,9,Enteritis due to adenovirus
863,9,Enteritis due to norwalk virus
864,9,Enteritis due to other small round viruses [SRV's]
865,9,Enteritis due to calicivirus
866,9,Enteritis due to astrovirus
867,9,Enteritis due to enterovirus nec
869,9,Enteritis due to other viral enteritis
88,9,"Intestinal infection due to other organism, not elsewhere classified"
90,9,"Infectious colitis, enteritis, and gastroenteritis"
91,9,"Colitis, enteritis, and gastroenteritis of presumed infectious origin"
92,9,Infectious diarrhea
93,9,Diarrhea of presumed infectious origin
1000,9,"Primary tuberculous infection, unspecified"
1001,9,"Primary tuberculous infection, bacteriological or histological examination not done"
1002,9,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)"
1003,9,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy"
1004,9,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1005,9,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1006,9,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1010,9,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified"
1011,9,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done"
1012,9,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
1013,9,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
1014,9,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1015,9,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
3283,9,Diphtheritic peritonitis
1016,9,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1080,9,"Other primary progressive tuberculosis, unspecified"
1081,9,"Other primary progressive tuberculosis, bacteriological or histological examination not done"
1082,9,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)"
1083,9,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy"
1084,9,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1085,9,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1086,9,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1090,9,"Primary tuberculous infection, unspecified, unspecified"
1091,9,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done"
1092,9,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)"
1093,9,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy"
1094,9,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1095,9,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1096,9,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1100,9,"Tuberculosis of lung, infiltrative, unspecified"
1101,9,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done"
1102,9,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)"
1103,9,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy"
1104,9,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1105,9,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1106,9,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1110,9,"Tuberculosis of lung, nodular, unspecified"
1111,9,"Tuberculosis of lung, nodular, bacteriological or histological examination not done"
1112,9,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)"
1113,9,"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy"
1114,9,"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1115,9,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1116,9,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1120,9,"Tuberculosis of lung with cavitation, unspecified"
1121,9,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done"
1122,9,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)"
1123,9,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy"
1124,9,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1125,9,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1126,9,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1130,9,"Tuberculosis of bronchus, unspecified"
1131,9,"Tuberculosis of bronchus, bacteriological or histological examination not done"
1132,9,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)"
1133,9,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy"
1134,9,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture"
1135,9,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1136,9,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1140,9,"Tuberculous fibrosis of lung, unspecified"
1141,9,"Tuberculous fibrosis of lung, bacteriological or histological examination not done"
1142,9,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)"
1143,9,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy"
1144,9,"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1145,9,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1146,9,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1150,9,"Tuberculous bronchiectasis, unspecified"
1151,9,"Tuberculous bronchiectasis, bacteriological or histological examination not done"
1152,9,"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)"
1153,9,"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy"
3284,9,Diphtheritic cystitis
1154,9,"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1155,9,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1156,9,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1160,9,"Tuberculous pneumonia [any form], unspecified"
1161,9,"Tuberculous pneumonia [any form], bacteriological or histological examination not done"
1162,9,"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)"
1163,9,"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy"
1164,9,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1165,9,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1166,9,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1170,9,"Tuberculous pneumothorax, unspecified"
1171,9,"Tuberculous pneumothorax, bacteriological or histological examination not done"
1172,9,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)"
1173,9,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy"
1174,9,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1175,9,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1176,9,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1180,9,"Other specified pulmonary tuberculosis, unspecified"
1181,9,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done"
1182,9,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)"
1183,9,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy"
1184,9,"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1185,9,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1186,9,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1190,9,"Pulmonary tuberculosis, unspecified, unspecified"
1191,9,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done"
1192,9,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)"
1193,9,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy"
1194,9,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1195,9,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1196,9,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1200,9,"Tuberculous pleurisy, unspecified"
1201,9,"Tuberculous pleurisy, bacteriological or histological examination not done"
1202,9,"Tuberculous pleurisy, bacteriological or histological examination unknown (at present)"
1203,9,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy"
1204,9,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1205,9,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1206,9,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1210,9,"Tuberculosis of intrathoracic lymph nodes, unspecified"
1211,9,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done"
1212,9,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)"
1213,9,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy"
1214,9,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1215,9,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1216,9,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1220,9,"Isolated tracheal or bronchial tuberculosis, unspecified"
1221,9,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done"
1222,9,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)"
1223,9,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy"
1224,9,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1225,9,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1226,9,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1230,9,"Tuberculous laryngitis, unspecified"
1231,9,"Tuberculous laryngitis, bacteriological or histological examination not done"
1232,9,"Tuberculous laryngitis, bacteriological or histological examination unknown (at present)"
1233,9,"Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy"
1234,9,"Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1235,9,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1236,9,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1280,9,"Other specified respiratory tuberculosis, unspecified"
1281,9,"Other specified respiratory tuberculosis, bacteriological or histological examination not done"
1282,9,"Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)"
1283,9,"Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy"
1284,9,"Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1285,9,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1286,9,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1300,9,"Tuberculous meningitis, unspecified"
1301,9,"Tuberculous meningitis, bacteriological or histological examination not done"
1302,9,"Tuberculous meningitis, bacteriological or histological examination unknown (at present)"
1303,9,"Tuberculous meningitis, tubercle bacilli found (in sputum) by microscopy"
1304,9,"Tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1305,9,"Tuberculous meningitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1306,9,"Tuberculous meningitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1310,9,"Tuberculoma of meninges, unspecified"
1311,9,"Tuberculoma of meninges, bacteriological or histological examination not done"
1312,9,"Tuberculoma of meninges, bacteriological or histological examination unknown (at present)"
1313,9,"Tuberculoma of meninges, tubercle bacilli found (in sputum) by microscopy"
1314,9,"Tuberculoma of meninges, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1315,9,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1316,9,"Tuberculoma of meninges, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1320,9,"Tuberculoma of brain, unspecified"
1321,9,"Tuberculoma of brain, bacteriological or histological examination not done"
1322,9,"Tuberculoma of brain, bacteriological or histological examination unknown (at present)"
1323,9,"Tuberculoma of brain, tubercle bacilli found (in sputum) by microscopy"
1324,9,"Tuberculoma of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1325,9,"Tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1326,9,"Tuberculoma of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1330,9,"Tuberculous abscess of brain, unspecified"
1331,9,"Tuberculous abscess of brain, bacteriological or histological examination not done"
1332,9,"Tuberculous abscess of brain, bacteriological or histological examination unknown (at present)"
1333,9,"Tuberculous abscess of brain, tubercle bacilli found (in sputum) by microscopy"
1334,9,"Tuberculous abscess of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1335,9,"Tuberculous abscess of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1336,9,"Tuberculous abscess of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1340,9,"Tuberculoma of spinal cord, unspecified"
1341,9,"Tuberculoma of spinal cord, bacteriological or histological examination not done"
1342,9,"Tuberculoma of spinal cord, bacteriological or histological examination unknown (at present)"
1343,9,"Tuberculoma of spinal cord, tubercle bacilli found (in sputum) by microscopy"
1344,9,"Tuberculoma of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1345,9,"Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1346,9,"Tuberculoma of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1350,9,"Tuberculous abscess of spinal cord, unspecified"
1351,9,"Tuberculous abscess of spinal cord, bacteriological or histological examination not done"
1352,9,"Tuberculous abscess of spinal cord, bacteriological or histological examination unknown (at present)"
1353,9,"Tuberculous abscess of spinal cord, tubercle bacilli found (in sputum) by microscopy"
1354,9,"Tuberculous abscess of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1355,9,"Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1356,9,"Tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1360,9,"Tuberculous encephalitis or myelitis, unspecified"
1361,9,"Tuberculous encephalitis or myelitis, bacteriological or histological examination not done"
3285,9,Cutaneous diphtheria
1362,9,"Tuberculous encephalitis or myelitis, bacteriological or histological examination unknown (at present)"
1363,9,"Tuberculous encephalitis or myelitis, tubercle bacilli found (in sputum) by microscopy"
1364,9,"Tuberculous encephalitis or myelitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1365,9,"Tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1366,9,"Tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1380,9,"Other specified tuberculosis of central nervous system, unspecified"
1381,9,"Other specified tuberculosis of central nervous system, bacteriological or histological examination not done"
1382,9,"Other specified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present)"
1383,9,"Other specified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy"
1384,9,"Other specified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1385,9,"Other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1386,9,"Other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1390,9,"Unspecified tuberculosis of central nervous system, unspecified"
1391,9,"Unspecified tuberculosis of central nervous system, bacteriological or histological examination not done"
1392,9,"Unspecified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present)"
1393,9,"Unspecified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy"
1394,9,"Unspecified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1395,9,"Unspecified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1396,9,"Unspecified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1400,9,"Tuberculous peritonitis, unspecified"
1401,9,"Tuberculous peritonitis, bacteriological or histological examination not done"
1402,9,"Tuberculous peritonitis, bacteriological or histological examination unknown (at present)"
1403,9,"Tuberculous peritonitis, tubercle bacilli found (in sputum) by microscopy"
1404,9,"Tuberculous peritonitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1405,9,"Tuberculous peritonitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1406,9,"Tuberculous peritonitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1480,9,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, unspecified"
1481,9,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, bacteriological or histological examination not done"
1482,9,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, bacteriological or histological examination unknown (at present)"
1483,9,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli found (in sputum) by microscopy"
1484,9,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1485,9,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1486,9,"Other tuberculosis of intestines, peritoneum, and mesenteric glands, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1500,9,"Tuberculosis of vertebral column, unspecified"
1501,9,"Tuberculosis of vertebral column, bacteriological or histological examination not done"
1502,9,"Tuberculosis of vertebral column, bacteriological or histological examination unknown (at present)"
1503,9,"Tuberculosis of vertebral column, tubercle bacilli found (in sputum) by microscopy"
1504,9,"Tuberculosis of vertebral column, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1505,9,"Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1506,9,"Tuberculosis of vertebral column, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1510,9,"Tuberculosis of hip, unspecified"
1511,9,"Tuberculosis of hip, bacteriological or histological examination not done"
1512,9,"Tuberculosis of hip, bacteriological or histological examination unknown (at present)"
1513,9,"Tuberculosis of hip, tubercle bacilli found (in sputum) by microscopy"
1514,9,"Tuberculosis of hip, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1515,9,"Tuberculosis of hip, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1516,9,"Tuberculosis of hip, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1520,9,"Tuberculosis of knee, unspecified"
1521,9,"Tuberculosis of knee, bacteriological or histological examination not done"
1522,9,"Tuberculosis of knee, bacteriological or histological examination unknown (at present)"
1523,9,"Tuberculosis of knee, tubercle bacilli found (in sputum) by microscopy"
1524,9,"Tuberculosis of knee, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
3289,9,Other specified diphtheria
1525,9,"Tuberculosis of knee, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1526,9,"Tuberculosis of knee, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1550,9,"Tuberculosis of limb bones, unspecified"
1551,9,"Tuberculosis of limb bones, bacteriological or histological examination not done"
1552,9,"Tuberculosis of limb bones, bacteriological or histological examination unknown (at present)"
1553,9,"Tuberculosis of limb bones, tubercle bacilli found (in sputum) by microscopy"
1554,9,"Tuberculosis of limb bones, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1555,9,"Tuberculosis of limb bones, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1556,9,"Tuberculosis of limb bones, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1560,9,"Tuberculosis of mastoid, unspecified"
1561,9,"Tuberculosis of mastoid, bacteriological or histological examination not done"
1562,9,"Tuberculosis of mastoid, bacteriological or histological examination unknown (at present)"
1563,9,"Tuberculosis of mastoid, tubercle bacilli found (in sputum) by microscopy"
1564,9,"Tuberculosis of mastoid, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1565,9,"Tuberculosis of mastoid, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1566,9,"Tuberculosis of mastoid, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1570,9,"Tuberculosis of other specified bone, unspecified"
1571,9,"Tuberculosis of other specified bone, bacteriological or histological examination not done"
1572,9,"Tuberculosis of other specified bone, bacteriological or histological examination unknown (at present)"
1573,9,"Tuberculosis of other specified bone, tubercle bacilli found (in sputum) by microscopy"
1574,9,"Tuberculosis of other specified bone, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1575,9,"Tuberculosis of other specified bone, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1576,9,"Tuberculosis of other specified bone, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1580,9,"Tuberculosis of other specified joint, unspecified"
1581,9,"Tuberculosis of other specified joint, bacteriological or histological examination not done"
1582,9,"Tuberculosis of other specified joint, bacteriological or histological examination unknown (at present)"
1583,9,"Tuberculosis of other specified joint, tubercle bacilli found (in sputum) by microscopy"
1584,9,"Tuberculosis of other specified joint, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1585,9,"Tuberculosis of other specified joint, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1586,9,"Tuberculosis of other specified joint, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1590,9,"Tuberculosis of unspecified bones and joints, unspecified"
1591,9,"Tuberculosis of unspecified bones and joints, bacteriological or histological examination not done"
1592,9,"Tuberculosis of unspecified bones and joints, bacteriological or histological examination unknown (at present)"
1593,9,"Tuberculosis of unspecified bones and joints, tubercle bacilli found (in sputum) by microscopy"
1594,9,"Tuberculosis of unspecified bones and joints, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture"
1595,9,"Tuberculosis of unspecified bones and joints, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically"
1596,9,"Tuberculosis of unspecified bones and joints, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]"
1600,9,"Tuberculosis of kidney, unspecified"
